t,x,tf,ts
0.37029374,0.64,0.99997234,1.0002083
0.007815625,0.27,1.0002966,1.0000216
0.85108125,0.949,1.0909175,1.0606064
0.6305406,0.969,1.0021005,1.0010397
0.481925,0.685,1.0035293,1.0018041
0.40280625,0.871,0.99998224,1.0001134
0.57179374,0.336,1.9926736,1.5882373
0.48995626,0.698,1.0036464,1.0018284
0.40895626,0.723,0.9999398,1.0001745
0.00336875,0.522,0.9999337,1.0000992
0.50077814,0.018,3.8745496,2.5473409
0.5207094,0.27,2.1655397,1.6583279
0.7142031,0.101,3.587191,2.9741492
0.4972125,0.71,1.0037234,1.0018336
0.027628126,0.01,0.9994998,0.9999405
0.29824376,0.61,1.0000635,1.0001683
0.26807812,0.883,1.0001919,1.000299
0.28885314,0.706,1.000191,1.000314
0.6929656,0.559,1.4758432,1.2846606
0.93027186,0.304,3.0895376,2.7156224
0.4204125,0.591,1.0019827,1.0011804
0.48744375,0.863,1.0000815,0.9999726
0.54485,0.158,3.0067055,2.2603097
0.1666625,0.706,1.0002532,1.000195
0.17904063,0.786,1.0002439,1.0002016
0.10385312,0.086,0.9995854,0.9999255
0.21855937,0.528,1.0001609,1.0001862
0.5506469,0.427,1.4762423,1.2547905
0.60587186,0.353,2.0356839,1.6391611
0.31939688,0.8,1.0001714,1.0002902
0.279325,0.47,1.0000823,1.0000141
0.78466564,0.565,1.7062988,1.4621959
0.85775,0.683,1.5235298,1.3404722
0.0115375,0.269,1.0002892,1.0000303
0.33990937,0.841,1.0001409,1.0002546
0.7955656,0.604,1.606122,1.3911326
0.71485937,0.179,3.245305,2.7065992
0.95164686,0.353,2.9436212,2.5798624
0.85142815,0.538,1.9834727,1.6901214
0.45525312,0.123,2.9938314,2.0264997
0.78027815,0.895,1.0692548,1.0397539
0.6475469,0.306,2.4349759,1.9652616
0.5392,0.121,3.2357724,2.3978887
0.42151874,0.17,2.4133432,1.639646
0.90308124,0.644,1.7431202,1.5106487
0.00325625,0.191,1.0003111,0.9999617
0.6600469,0.726,1.091231,1.0469097
0.7758875,0.284,2.883872,2.4379277
0.4719375,0.539,1.0400819,1.0184324
0.799325,0.388,2.4698849,2.0808153
0.4013625,0.672,1.0000285,1.0002502
0.17793438,0.797,1.0002407,1.0001994
0.22386874,0.246,0.9996941,0.9998239
0.43055937,0.34,1.3121855,1.1337693
0.7287969,0.679,1.2623764,1.1510887
0.81352186,0.773,1.2412577,1.1441588
0.5980125,0.466,1.498044,1.2802676
0.63979375,0.468,1.6302211,1.3756895
0.88545,0.329,2.914737,2.5254412
0.45114374,0.02,3.8383973,2.3361819
0.10520312,0.123,0.999704,0.9999401
0.19299063,0.819,1.0002372,1.0002177
0.6168187,0.462,1.5763749,1.3343381
0.5461063,0.126,3.2180119,2.403273
0.82345,0.653,1.5282967,1.3394136
0.6748437,0.902,1.0148702,1.0073755
0.2301,0.751,1.0002356,1.0002655
0.17919375,0.427,1.0000744,1.000055
0.7631094,0.185,3.294352,2.8004968
0.6463063,0.622,1.2107029,1.1141372
0.78910315,0.404,2.371461,1.991943
0.3321719,0.853,1.0001574,1.0002712
0.31515938,0.235,1.0771214,1.020093
0.64439064,0.308,2.4139724,1.9464102
0.1353375,0.568,1.0001647,1.0001644
0.1566125,0.767,1.000233,1.000179
0.60745,0.849,1.0078542,1.003362
0.14606562,0.022,0.9994683,0.9997023
0.20520625,0.823,1.000234,1.0002342
0.011528125,0.616,0.9999411,1.0000858
0.78353435,0.303,2.814824,2.379913
0.04205,0.681,1.000087,1.0000899
0.013940625,0.81,1.0001353,0.99993396
0.5279844,0.9,1.0002147,0.99988574
0.451775,0.46,1.0874445,1.0386713
0.79060626,0.474,2.0724158,1.7453467
0.5086375,0.343,1.6761671,1.3530099
0.9462094,0.668,1.7679303,1.5367482
0.92372185,0.592,1.9678743,1.6928664
0.2335625,0.482,1.0000415,1.0001738
0.92855,0.209,3.4165356,3.041426
0.35547188,0.449,1.0017927,1.0009193
0.15290312,0.15,0.9995868,0.9997355
0.8746281,0.873,1.183388,1.1146696
0.68314373,0.949,1.0096592,1.0054523
0.6994906,0.486,1.751548,1.4755197
0.17658438,0.894,1.0002367,1.000192
0.2452125,0.855,1.0002031,1.000286
0.04693125,0.87,1.0002599,0.99994975
0.8206469,0.341,2.72969,2.3222227
0.61164373,0.884,1.0050206,1.0020661
0.94715935,0.127,3.6758485,3.2987201
0.89118123,0.986,1.1085855,1.078471
0.012596875,0.82,1.0001469,0.9999225
0.14886563,0.805,1.0002258,1.000161
0.94430625,0.782,1.4549067,1.3026788
0.35511562,0.57,1.0001175,1.000257
0.40695,0.793,0.99993026,1.0000949
0.9491906,0.87,1.2915187,1.1932908
0.32127813,0.475,1.0002162,1.0001779
0.9300187,0.918,1.1988465,1.133912
0.030290624,0.008,0.9994819,0.99994147
0.24432187,0.962,1.0002363,1.000268
0.52243125,0.226,2.4685905,1.8569963
0.777775,0.298,2.8245738,2.3852725
0.9545219,0.465,2.5189722,2.1776462
0.4119375,0.909,0.9999578,1.0001144
0.92485,0.119,3.6842508,3.2880769
0.1394,0.54,1.0001509,1.0001512
0.75909376,0.955,1.0314542,1.0198208
0.3120375,0.365,1.0002239,1.000113
0.86441565,0.404,2.5607579,2.1870413
0.14339375,0.772,1.0002222,1.000163
0.42711875,0.53,1.0113813,1.0053812
0.91029686,0.578,1.9850496,1.7042198
0.052865624,0.463,1.0001072,1.0001819
0.8266,0.266,3.061666,2.6351843
0.03314375,0.638,1.0000377,1.0001074
0.52542186,0.856,1.0005181,1.0000792
0.5758344,0.533,1.2365522,1.1231536
0.7170906,0.367,2.339087,1.9320555
0.42952812,0.999,0.99983335,1.0001429
0.64322186,0.836,1.0197527,1.0091722
0.7031281,0.12,3.4939399,2.890902
0.64991564,0.119,3.4326348,2.7602782
0.008240625,0.691,0.99996686,1.0000302
0.9187437,0.377,2.7889593,2.4184742
0.7620594,0.5,1.8844473,1.5903414
0.5043906,0.298,1.9102874,1.4861988
0.0360625,0.751,1.0001228,1.0000246
0.00021875,0.57,0.99989176,1.000083
0.35415313,0.461,1.0011095,1.0006453
0.7476125,0.665,1.3291163,1.1951615
0.82952815,0.974,1.0641639,1.0443292
0.72396874,0.906,1.0311655,1.0168468
0.73537815,0.213,3.1254945,2.6238804
0.011678125,0.459,1.0000255,1.0001161
0.0609125,0.02,0.99945533,0.9999528
0.0365875,0.769,1.0001409,1.00001
0.3694375,0.612,1.0000508,1.0002518
0.460275,0.088,3.299996,2.1960566
0.070425,0.245,1.0001194,1.000093
0.19600312,0.495,1.0001769,1.0001311
